"folioSalida","condicionDePago","medioEmbarque","moneda","cantidadTotal","promedioDescuento","totalImporte","totalDescuento","totalImpuesto","total","pctDescuentoGlobal","numArticulos","numPartidas"
"SA0000208","45","PAQ","P",4,0,920,506,62.11,476.11,55,4,4
"SA0000209","45","PAQ","P",1,0,800,440,54,414,55,1,1
"SA0000210","60","PAQ","P",4,0,8200,4346,578.1,4432.1,53,4,4
"SA0000211","30","PAQ","P",31,0,6060,2908.8,472.68,3623.88,48,18,18
"SA0000212","15","MOS","P",3,0,620,279,51.16,392.16,45,3,3
"SA0000213","15","RUT","P",41,0,19680,9840,1476,11316,50,33,33
"SA0000214","15","RUT","P",10,0,2620,1310,196.5,1506.5,50,5,5
"SA0000215","30","RUT","P",49,0,30110,15657.2,2167.92,16620.72,52,33,33
"SA0000216","30","RUT","P",118,0,15030,7815.6,1082.16,8296.56,52,33,33
"SA0000217","30","RUT","P",20,0,1150,598,82.8,634.8,52,4,4
"SA0000218","30","RUT","P",78,0,27950,14534,2012.4,15428.4,52,26,26
"SA0000219","30","RUT","P",42,0,25480,13249.6,1834.56,14064.96,52,33,33
"SA0000220","30","RUT","P",36,0,11090,5766.8,798.48,6121.68,52,31,31
"SA0000221","30","RUT","P",46,0,11410,5933.2,821.52,6298.32,52,32,32
"SA0000222","30","RUT","P",16,0,4880,2537.6,351.36,2693.76,52,8,8
"SA0000223","CONTADO","RUT","P",44,0,30680,15953.6,2208.96,16935.36,52,32,32
"SA0000224","30","RUT","P",74,0,42780,23529,2887.66,22138.66,55,28,28
"SA0000225","30","RUT","P",36,0,12750,7012.5,860.63,6598.13,55,8,8
"SA0000226","CONTADO","RUT","P",75,0,61300,31876,4413.6,33837.6,52,34,34
"SA0000227","CONTADO","RUT","P",80,0,71300,37076,5133.6,39357.6,52,34,34
"SA0000228","CONTADO","RUT","P",72,0,15410,8013.2,1109.52,8506.32,52,18,18
"SA0000229","CONTADO","RUT","P",72,0,38200,19864,2750.4,21086.4,52,34,34
"SA0000230","CONTADO","RUT","P",106,0,74660,38823.2,5375.52,41212.32,52,33,33
"SA0000231","CONTADO","RUT","P",17,0,38400,19968,2764.8,21196.8,52,11,11
"SA0000232","CONTADO","RUT","P",65,0,74500,38740,5364,41124,52,21,21
"SA0000233","CONTADO","RUT","P",73,0,94150,48958,6778.8,51970.8,52,33,33
"SA0000234","CONTADO","RUT","P",89,0,67100,34892,4831.2,37039.2,52,25,25
"SA0000235","CONTADO","RUT","P",51,0,91600,47632,6595.2,50563.2,52,33,33
"SA0000236","CONTADO","RUT","P",65,0,73600,38272,5299.2,40627.2,52,34,34
"SA0000237","CONTADO","RUT","P",56,0,49530,25755.6,3566.16,27340.56,52,34,34
"SA0000238","CONTADO","RUT","P",39,0,30860,16047.2,2221.92,17034.72,52,23,23
"SA0000239","30","RUT","P",117,0,13180,7249,889.68,6820.68,55,25,25
"SA0000240","CONTADO","RUT","P",108,0,30060,15631.2,2164.32,16593.12,52,30,30
"SA0000241","60","PAQ","P",6,0,8200,4346,578.1,4432.1,53,6,6
"SA0000242","60","PAQ","P",28,0,6670,3535.1,470.24,3605.14,53,7,7
"SA0000243","90","RUT","P",194,0,90670,46241.7,0,44428.3,51,36,36
"SA0000244","90","RUT","P",88,0,61110,31166.1,0,29943.9,51,25,25
"SA0000245","90","RUT","P",77,0,52720,26887.2,0,25832.8,51,35,35
"SA0000246","90","RUT","P",25,0,23680,12076.8,0,11603.2,51,15,15
"SA0000247","90","RUT","P",82,0,30850,15733.5,0,15116.5,51,26,26
"SA0000248","90","RUT","P",104,0,57320,29233.2,0,28086.8,51,26,26
"SA0000249","90","RUT","P",143,0,69360,35373.6,0,33986.4,51,39,39
"SA0000250","90","RUT","P",27,0,1840,938.4,0,901.6,51,4,4
"SA0000251","90","RUT","P",15,0,11600,5916,0,5684,51,2,2
"SA0000252","90","RUT","P",64,0,29680,15136.8,0,14543.2,51,19,19
"SA0000253","90","RUT","P",10,0,1200,612,0,588,51,1,1
"SA0000254","90","RUT","P",106,0,43990,22434.9,0,21555.1,51,33,33
"SA0000255","90","RUT","P",144,0,62390,31818.9,0,30571.1,51,27,27
"SA0000256","90","RUT","P",140,0,75950,38734.5,0,37215.5,51,36,36
"SA0000257","90","RUT","P",93,0,47110,24026.1,0,23083.9,51,34,34
"SA0000258","90","RUT","P",75,0,25200,12852,0,12348,51,16,16
"SA0000259","90","RUT","P",40,0,5000,2550,0,2450,51,5,5
"SA0000260","60","RUT","P",43,0,10205,5612.75,688.89,5281.14,55,27,27
"SA0000261","60","RUT","P",41,0,23040,12672,1555.23,11923.23,55,27,27
"SA0000262","60","RUT","P",4,0,1300,715,87.76,672.76,55,4,4
"SA0000263","30","RUT","P",210,0,46700,22883,0,23817,49,11,11
"SA0000264","45","RUT","P",34,0,21100,11605,1424.27,10919.27,55,33,33
"SA0000265","45","RUT","P",31,0,6770,3723.5,457.01,3503.51,55,29,29
"SA0000266","45","RUT","P",5,0,1200,660,81,621,55,5,5
"SA0000267","30","PAQ","P",41,0,5860,2930,439.5,3369.5,50,12,12
"SA0000268","30","PAQ","P",3,0,2960,1539.2,213.12,1633.92,52,3,3
"SA0000269","30","PAQ","P",10,0,1710,769.5,141.09,1081.59,45,10,10
"SA0000270","45","PAQ","P",5,0,2310,1155,173.25,1328.25,50,5,5
"SA0000271","30","PAQ","P",1,0,600,312,43.2,331.2,52,1,1
"SA0000272","30","PAQ","P",3,0,2250,1080,175.5,1345.5,48,2,2
"SA0000273","30","PAQ","P",1,0,600,288,46.8,358.8,48,1,1
"SA0000274","45","MOS","P",7,0,1920,960,144,1104,50,2,2
"SA0000275","45","MOS","P",7,0,3750,1875,281.25,2156.25,50,3,3
"SA0000276","45","PAQ","P",4,0,3040,1520,228,1748,50,4,4
"SA0000277","30","PAQ","P",1,0,160,72,13.2,101.2,45,1,1
"SA0000278","60","paq","P",15,0,8860,4873,598.07,4585.07,55,15,15
"SA0000279","30","paq","P",1,0,2300,1035,189.75,1454.75,45,1,1
"SA0000280","CONTADO","PAQ","P",18,0,11730,5630.4,914.94,7014.54,48,18,18
"SA0000281","60","paq","P",14,0,2400,1320,162,1242,55,4,4
"SA0000282","60","paq","P",3,0,1560,858,105.31,807.31,55,3,3
"SA0000283","60","PAQ","P",6,0,1300,741,83.85,642.85,57,2,2
"SA0000284","30","PAQ","P",1,0,2600,1300,195,1495,50,1,1
"SA0000285","60","PAQ","P",1,0,900,495,60.75,465.75,55,1,1
"SA0000286","30","PAQ","P",1,0,330,165,24.75,189.75,50,1,1
"SA0000287","30","PAQ","P",4,0,1210,580.8,94.38,723.58,48,4,4
"SA0000288","30","paq","P",4,0,1940,931.2,151.32,1160.12,48,4,4
"SA0000289","60","RUT","P",125,0,80000,39200,0,40800,49,34,34
"SA0000290","45","paq","P",21,0,2500,1375,168.75,1293.75,55,4,4
"SA0000291","30","PAQ","P",4,0,2780,1390,208.5,1598.5,50,4,4
"SA0000292","45","PAQ","P",5,0,2900,1450,217.5,1667.5,50,5,5
"SA0000293","30","PAQ","P",18,0,5230,2510.4,407.94,3127.54,48,9,9
"SA0000294","45","PAQ","P",8,0,7490,3745,561.75,4306.75,50,8,8
"SA0000295","30","PAQ","P",5,0,3250,1690,234,1794,52,4,4
"SA0000296","60","RUT","P",74,0,26700,13083,0,13617,49,33,33
"SA0000297","60","RUT","P",115,0,48030,23534.7,0,24495.3,49,35,35
"SA0000298","15","MOS","P",4,0,1200,540,99.01,759.01,45,4,4
"SA0000299","32","MOS","P",20,0,11530,5765,864.75,6629.75,50,19,20
"SA0000300","60","RUT","P",128,0,23950,11735.5,0,12214.5,49,34,34
"SA0000301","60","RUT","P",110,0,22550,11049.5,0,11500.5,49,34,34
"SA0000302","60","RUT","P",9,0,5550,2719.5,0,2830.5,49,3,3
"SA0000303","60","RUT","P",9,0,2050,1004.5,0,1045.5,49,3,3
"SA0000304","60","MOS","P",2,0,1100,495,90.76,695.76,45,2,2
"SA0000305","60","RUT","P",90,0,40740,19962.6,0,20777.4,49,23,23
"SA0000306","BAJA","PAQ","P",34,0,4980,2390.4,388.44,2978.04,48,20,20
"SA0000307","60","PAQ","P",9,0,1540,770,115.51,885.51,50,8,8
"SA0000308","90","PAQ","P",8,0,6700,3819,432.15,3313.15,57,4,4
"SA0000309","30","PAQ","P",9,0,7040,3520,528,4048,50,5,5
"SA0000310","60","PAQ","P",1,0,1100,605,74.25,569.25,55,1,1
"SA0000311","30","paq","P",3,0,2250,1080,175.5,1345.5,48,3,3
"SA0000312","30","paq","P",9,0,4390,2414.5,296.33,2271.83,55,7,7
"SA0000313","60","paq","P",13,0,8410,4625.5,567.71,4352.21,55,13,13
"SA0000314","30","paq","P",12,0,4130,2065,309.75,2374.75,50,9,9
"SA0000315","60","PAQ","P",22,0,2570,1285,192.76,1477.76,50,20,20
"SA0000316","45","PAQ","P",1,0,1100,550,82.5,632.5,50,1,1
"SA0000317","60","PAQ","P",21,0,12800,7040,864,6624,55,6,6
"SA0000318","60","PAQ","P",13,0,1700,901,119.85,918.85,53,4,4
"SA0000319","15","PAQ","P",27,0,5340,2136,480.6,3684.6,40,7,7
"SA0000320","30","PAQ","P",9,0,2170,976.5,179.03,1372.53,45,4,4
"SA0000321","30","PAQ","P",6,0,1490,745,111.75,856.75,50,4,4
"SA0000322","CONTADO","paq","P",9,0,7490,3370.5,617.93,4737.43,45,7,7
"SA0000323","30","MOS","P",4,0,1860,837,153.45,1176.45,45,4,4
"SA0000324","30","PAQ","P",11,0,3010,1444.8,234.78,1799.98,48,7,7
"SA0000325","30","PAQ","P",6,0,900,450,67.5,517.5,50,2,2
"SA0000326","30","PAQ","P",6,0,2180,1199,147.16,1128.16,55,5,5
"SA0000327","60","PAQ","P",14,0,5510,3030.5,371.93,2851.43,55,6,6
"SA0000328","30","PAQ","P",14,0,5990,3294.5,404.34,3099.84,55,12,12
"SA0000329","90","MOS","P",2,0,6800,3400,510,3910,50,2,2
"SA0000330","45","RUT","P",186,0,102200,50078,0,52122,49,35,35
"SA0000331","45","RUT","P",163,0,54330,26621.7,0,27708.3,49,33,33
"SA0000332","45","RUT","P",107,0,30500,14945,0,15555,49,33,33
"SA0000333","45","RUT","P",177,0,18890,9256.1,0,9633.9,49,34,34
"SA0000334","45","RUT","P",25,0,20300,9947,0,10353,49,8,8
"SA0000335","45","RUT","P",17,0,14900,7301,0,7599,49,12,12
"SA0000336","30","RUT","P",68,0,13190,6067.4,1068.41,8191.01,46,26,26
"SA0000337","45","RUT","P",43,0,25370,11162.8,0,14207.2,44,30,30
"SA0000338","45","PAQ","P",2,0,1300,650,97.5,747.5,50,2,2
"SA0000339","45","RUT","P",40,0,22130,9737.2,0,12392.8,44,30,30
"SA0000340","90","RUT","P",147,0,12700,7239,819.17,6280.17,57,25,25
"SA0000341","45","RUT","P",44,0,14060,6186.4,0,7873.6,44,32,32
"SA0000342","45","RUT","P",32,0,5455,2400.2,0,3054.8,44,24,24
"SA0000343","30","PAQ","P",2,0,510,255,38.25,293.25,50,2,2
"SA0000344","90","RUT","P",64,0,38500,21945,2483.26,19038.26,57,25,25
"SA0000345","45","RUT","P",2,0,240,105.6,0,134.4,44,1,1
"SA0000346","30","paq","P",4,0,8400,4200,630,4830,50,4,4
"SA0000347","90","RUT","P",64,0,7100,4047,457.96,3510.96,57,8,8
"SA0000348","45","RUT","P",1,0,2300,1012,0,1288,44,1,1
"SA0000349","30","PAQ","P",10,0,4050,1822.5,334.14,2561.64,45,8,8
"SA0000350","45","RUT","P",89,0,55260,27077.4,0,28182.6,49,18,18
"SA0000351","90","RUT","P",149,0,23490,13389.3,1515.11,11615.81,57,25,25
"SA0000352","60","PAQ","P",2,0,1000,550,67.5,517.5,55,2,2
"SA0000353","45","RUT","P",112,0,14080,7744,950.41,7286.41,55,30,30
"SA0000354","30","paq","P",19,0,6920,3598.4,498.24,3819.84,52,16,16
"SA0000355","90","RUT","P",51,0,25120,14318.4,1620.26,12421.86,57,23,23
"SA0000356","90","RUT","P",97,0,43250,24652.5,2789.65,21387.15,57,25,25
"SA0000357","CONTADO","RUT","P",36,0,14180,6381,1169.9,8968.9,45,25,25
"SA0000358","CONTADO","RUT","P",27,0,21560,9702,1778.74,13636.74,45,24,24
"SA0000359","CONTADO","RUT","P",44,0,15980,7191,1318.38,10107.38,45,25,25
"SA0000360","CONTADO","RUT","P",44,0,14840,6678,1224.37,9386.37,45,32,32
"SA0000361","30","PAQ","P",16,0,3050,1464,237.9,1823.9,48,7,7
"SA0000362","90","RUT","P",48,0,5400,3078,348.32,2670.32,57,10,10
"SA0000363","30","RUT","P",57,0,16640,8153.6,0,8486.4,49,33,33
"SA0000364","45","RUT","P",60,0,45970,22525.3,0,23444.7,49,37,37
"SA0000365","45","RUT","P",70,0,45000,22050,0,22950,49,35,35
"SA0000366","45","RUT","P",67,0,30550,14969.5,0,15580.5,49,34,34
"SA0000367","90","RUT","P",108,0,25900,14763,1670.58,12807.58,57,22,22
"SA0000368","45","RUT","P",71,0,21670,10618.3,0,11051.7,49,32,32
"SA0000369","90","RUT","P",71,0,58400,33288,3766.81,28878.81,57,24,24
"SA0000370","45","RUT","P",43,0,8870,4346.3,0,4523.7,49,17,17
"SA0000371","30","RUT","P",1,0,380,171,31.35,240.35,45,1,1
"SA0000372","30","RUT","P",43,0,8440,3713.6,0,4726.4,44,33,33
"SA0000373","45","RUT","P",39,0,23730,12339.6,1708.56,13098.96,52,35,35
"SA0000374","45","RUT","P",47,0,12770,6640.4,919.44,7049.04,52,37,37
"SA0000375","45","RUT","P",52,0,17475,9087,1258.2,9646.2,52,36,36
"SA0000376","90","RUT","P",94,0,45850,26134.5,2957.34,22672.84,57,25,25
"SA0000377","45","RUT","P",15,0,4010,2085.2,288.72,2213.52,52,11,11
"SA0000378","90","RUT","P",156,0,43850,24994.5,2828.33,21683.83,57,23,23
"SA0000379","30","RUT","P",45,0,24380,11946.2,0,12433.8,49,38,38
"SA0000380","30","RUT","P",21,0,12240,5997.6,0,6242.4,49,20,20
"SA0000381","30","RUT","P",42,0,2630,1157.2,0,1472.8,44,11,11
"SA0000382","60","RUT","P",44,0,9440,4153.6,0,5286.4,44,24,24
"SA0000383","60","RUT","P",5,0,3500,1715,0,1785,49,1,1
"SA0000384","60","RUT","P",26,0,2500,1250,187.5,1437.5,50,8,8
"SA0000385","60","RUT","P",69,0,7310,3655,548.27,4203.27,50,25,25
"SA0000386","90","RUT","P",143,0,77900,44403,5024.58,38521.58,57,23,23
"SA0000387","90","RUT","P",4,0,400,228,25.8,197.8,57,2,2
"SA0000388","90","RUT","P",15,0,1100,627,70.95,543.95,57,3,3
"SA0000389","60","RUT","P",71,0,18740,9370,1405.5,10775.5,50,24,24
"SA0000390","30","RUT","P",48,0,13550,6504,1056.9,8102.9,48,19,19
"SA0000391","90","RUT","P",111,0,31680,18057.6,2043.37,15665.77,57,24,24
"SA0000392","55","rut","P",1,0,2300,1265,155.25,1190.25,55,1,1
"SA0000393","15","RUT","P",43,0,23130,10177.2,0,12952.8,44,39,39
"SA0000394","30","paq","P",59,0,10760,5380,807,6187,50,25,25
"SA0000395","45","PAQ","P",2,0,5100,2550,382.5,2932.5,50,2,2
"SA0000396","30","paq","P",3,0,610,317.2,43.92,336.72,52,3,3
"SA0000397","60","PAQ","P",2,0,2000,1100,135,1035,55,2,2
"SA0000398","30","PAQ","P",48,0,9560,4588.8,745.68,5716.88,48,19,19
"SA0000399","15","RUT","P",25,0,5575,2453,0,3122,44,23,23
"SA0000400","30","paq","P",3,0,4600,2208,358.8,2750.8,48,2,2
"SA0000401","15","RUT","P",16,0,3760,1654.4,0,2105.6,44,15,15
"SA0000402","60","PAQ","P",1,0,1000,570,64.5,494.5,57,1,1
"SA0000403","30","PAQ","P",1,0,1000,520,72,552,52,1,1
"SA0000404","30","PAQ","P",2,0,590,295,44.25,339.25,50,2,2
"SA0000405","45","PAQ","P",1,0,100,55,6.75,51.75,55,1,1
"SA0000406","30","RUT","P",68,0,39610,18220.6,0,21389.4,46,40,40
"SA0000407","30","RUT","P",112,0,20580,9466.8,0,11113.2,46,37,37
"SA0000408","30","RUT","P",43,0,8490,3905.4,0,4584.6,46,15,15
"SA0000409","30","RUT","P",5,0,2250,1102.5,0,1147.5,49,1,1
"SA0000410","45","RUT","P",11,0,5480,2740,411,3151,50,2,2
"SA0000411","45","MOS","P",2,0,2200,1100,165,1265,50,2,2
"SA0000412","45","MOS","P",2,0,1950,975,146.25,1121.25,50,2,2
"SA0000413","45","MOS","P",3,0,2100,1050,157.5,1207.5,50,3,3
"SA0000414","30","PAQ","P",64,0,3180,1653.6,228.96,1755.36,52,15,15
"SA0000415","30","PAQ","P",28,0,10780,5605.6,776.16,5950.56,52,18,18
"SA0000416","30","PAQ","P",9,0,4400,2420,297.01,2277.01,55,7,7
"SA0000417","30","PAQ","P",1,0,1300,676,93.6,717.6,52,1,1
"SA0000418","45","MOS","P",2,0,2200,1100,165,1265,50,1,1
"SA0000419","60","PAQ","P",1,0,1100,605,74.25,569.25,55,1,1
"SA0000420","45","PAQ","P",6,0,3200,1600,240,1840,50,6,6
"SA0000421","30","PAQ","P",2,0,1850,1017.5,124.88,957.38,55,2,2
"SA0000422","45","PAQ","P",1,0,1000,500,75,575,50,1,1
"SA0000423","45","MOS","P",1,0,2500,1250,187.5,1437.5,50,1,1
"SA0000424","45","PAQ","P",18,0,11270,6198.5,760.74,5832.24,55,14,14
"SA0000425","BAJA","PAQ","P",10,0,2900,1392,226.2,1734.2,48,7,7
"SA0000426","CONTADO","PAQ","P",4,0,2210,994.5,182.33,1397.83,45,4,4
"SA0000427","60","PAQ","P",9,0,5900,3363,380.56,2917.56,57,5,5
"SA0000428","45","PAQ","P",2,0,2200,1210,148.5,1138.5,55,2,2
"SA0000429","45","MOS","P",1,0,300,150,22.5,172.5,50,1,1
"SA0000430","15","MOS","P",20,0,8700,4350,652.5,5002.5,50,16,16
"SA0000431","30","MOS","P",3,0,1520,684,125.4,961.4,45,3,3
"SA0000432","30","PAQ","P",11,0,4200,2310,283.51,2173.51,55,8,8
"SA0000433","30","PAQ","P",9,0,2120,1060,159,1219,50,5,5
"SA0000434","60","MOS","P",1,0,1000,450,82.5,632.5,45,1,1
"SA0000435","30","PAQ","P",6,0,5500,2750,412.5,3162.5,50,6,6
"SA0000436","90","RUT","P",71,0,45350,25849.5,2925.08,22425.58,57,17,17
"SA0000437","90","RUT","P",18,0,13300,7581,857.85,6576.85,57,7,7
"SA0000438","30","PAQ","P",2,0,2000,1000,150,1150,50,2,2
"SA0000439","90","RUT","P",10,0,1200,684,77.4,593.4,57,1,1
"SA0000440","45","PAQ","P",1,0,1800,900,135,1035,50,1,1
"SA0000441","30","paq","P",3,0,1210,629.2,87.12,667.92,52,3,3
"SA0000442","60","PAQ","P",21,0,14050,7727.5,948.38,7270.88,55,7,7
"SA0000443","60","MOS","P",8,0,480,216,39.6,303.6,45,2,2
"SA0000444","CONTADO","PAQ","P",21,0,6910,3316.8,538.98,4132.18,48,21,21
"SA0000445","CONTADO","PAQ","P",10,0,4180,2006.4,326.04,2499.64,48,10,10
"SA0000446","30","PAQ","P",2,0,1350,742.5,91.13,698.63,55,2,2
"SA0000447","90","RUT","P",217,0,78400,44688,5056.83,38768.83,57,35,35
"SA0000448","90","RUT","P",295,0,215800,123006,13919.12,106713.12,57,36,36
"SA0000449","90","RUT","P",90,0,31200,17784,2012.41,15428.41,57,10,10
"SA0000450","90","RUT","P",64,0,43050,24538.5,2776.73,21288.23,57,9,9
"SA0000451","20","PAQ","P",38,0,2980,1430.4,232.44,1782.04,48,14,14
"SA0000452","20","paq","P",75,0,6420,3081.6,500.76,3839.16,48,17,17
"SA0000453","30","paq","P",7,0,3380,1622.4,263.64,2021.24,48,7,7
"SA0000454","30","PAQ","P",3,0,2250,1237.5,151.88,1164.38,55,3,3
"SA0000455","90","RUT","P",256,0,65600,37392,4231.28,32439.28,57,38,38
"SA0000456","CONTADO","PAQ","P",3,0,1800,810,148.5,1138.5,45,2,2
"SA0000457","90","RUT","P",366,0,46020,26231.4,2968.36,22756.96,57,40,40
"SA0000458","45","PAQ","P",13,0,7440,4092,502.22,3850.22,55,12,12
"SA0000459","60","PAQ","P",2,0,560,308,37.8,289.8,55,2,2
"SA0000460","45","rut","P",143,0,54900,27450,4117.5,31567.5,50,39,39
"SA0000461","45","rut","P",98,0,11740,5870,880.51,6750.51,50,30,30
"SA0000462","60","MOS","P",1,0,1000,450,82.5,632.5,45,1,1
"SA0000463","30","RUT","P",199,0,42950,23622.5,2899.16,22226.66,55,42,42
"SA0000464","30","RUT","P",112,0,61710,33940.5,4165.44,31934.94,55,20,20
"SA0000465","90","RUT","P",211,0,80000,45600,5160.02,39560.02,57,38,38
"SA0000466","15","MOS","P",3,0,1800,810,148.5,1138.5,45,3,3
"SA0000467","30","RUT","P",206,0,25300,13915,1707.81,13092.81,55,41,41
"SA0000468","90","RUT","P",5,0,12000,6840,774,5934,57,1,1
"SA0000469","45","MOS","P",30,0,4950,2227.5,408.39,3130.89,45,13,13
"SA0000470","90","RUT","P",195,0,85330,48638.1,5503.81,42195.71,57,34,34
"SA0000471","90","RUT","P",84,0,18690,10653.3,1205.52,9242.22,57,14,14
"SA0000472","30","RUT","P",162,0,66220,36421,4469.91,34268.91,55,42,42
"SA0000473","15","RUT","P",91,0,43810,22343.1,0,21466.9,51,33,33
"SA0000474","15","RUT","P",53,0,34940,17819.4,0,17120.6,51,32,32
"SA0000475","15","RUT","P",64,0,26430,13479.3,0,12950.7,51,43,43
"SA0000476","15","RUT","P",56,0,31210,15917.1,0,15292.9,51,28,28
"SA0000477","15","RUT","P",56,0,31210,15917.1,0,15292.9,51,28,28
"SA0000478","15","RUT","P",48,0,24070,12275.7,0,11794.3,51,31,31
"SA0000479","15","RUT","P",16,0,2360,1203.6,0,1156.4,51,12,12
"SA0000480","15","RUT","P",13,0,9340,4763.4,0,4576.6,51,9,9
"SA0000481","15","RUT","P",14,0,20600,10506,0,10094,51,4,4
"SA0000482","15","RUT","P",2,0,4800,2448,0,2352,51,2,2
"SA0000483","45","RUT","P",140,0,38050,18644.5,0,19405.5,49,24,24
"SA0000484","30","RUT","P",95,0,44470,24458.5,3001.77,23013.27,55,41,41
"SA0000485","30","RUT","P",11,0,8700,4785,587.26,4502.26,55,11,11
"SA0000486","30","PAQ","P",1,0,550,275,41.25,316.25,50,1,1
"SA0000487","60","PAQ","P",2,0,500,225,41.25,316.25,45,1,1
"SA0000488","30","PAQ","P",2,0,1600,768,124.8,956.8,48,2,2
"SA0000489","55","rut","P",72,0,23150,12732.5,1562.68,11980.18,55,41,41
"SA0000490","55","RUT","P",64,0,26900,14795,1815.8,13920.8,55,39,39
"SA0000491","55","RUT","P",85,0,16775,9226.25,1132.34,8681.09,55,38,38
"SA0000492","30","PAQ","P",1,0,800,400,60,460,50,1,1
"SA0000493","55","RUT","P",102,0,21730,11951.5,1466.81,11245.31,55,35,35
"SA0000494","30","PAQ","P",1,0,300,150,22.5,172.5,50,1,1
"SA0000495","90","RUT","P",78,0,18960,10807.2,1222.92,9375.72,57,17,17
"SA0000496","90","RUT","P",66,0,35750,20377.5,2305.88,17678.38,57,25,25
"SA0000497","90","RUT","P",7,0,3250,1852.5,209.63,1607.13,57,2,2
"SA0000498","60","RUT","P",74,0,38370,17650.2,0,20719.8,46,39,39
"SA0000499","60","RUT","P",26,0,11370,5230.2,0,6139.8,46,9,9
"SA0000500","60","RUT","P",97,0,13885,6387.1,0,7497.9,46,37,37
"SA0000501","60","RUT","P",103,0,38575,17744.5,0,20830.5,46,38,38
"SA0000502","60","RUT","P",61,0,67370,30990.2,0,36379.8,46,39,39
"SA0000503","60","RUT","P",93,0,35380,16274.8,0,19105.2,46,33,33
"SA0000504","60","RUT","P",65,0,33980,15630.8,0,18349.2,46,32,32
"SA0000505","30","PAQ","P",1,0,500,250,37.5,287.5,50,1,1
"SA0000506","45","MOS","P",10,0,3200,1440,264,2024,45,6,6
"SA0000507","45","RUT","P",103,0,21760,11315.2,1566.72,12011.52,52,35,35
"SA0000508","45","RUT","P",27,0,5180,2693.6,372.96,2859.36,52,9,9
"SA0000509","60","RUT","P",202,0,143350,74542,10321.2,79129.2,52,20,20
"SA0000510","60","RUT","P",65,0,27750,14430,1998,15318,52,5,5
"SA0000511","45","RUT","P",45,0,25950,14272.5,1751.63,13429.13,55,6,6
"SA0000512","45","RUT","P",136,0,67250,34970,4842,37122,52,32,32
"SA0000513","45","RUT","P",2,0,2200,1144,158.4,1214.4,52,1,1
"SA0000514","45","RUT","P",20,0,10400,5720,702,5382,55,2,2
"SA0000515","45","RUT","P",54,0,26910,13993.2,1937.52,14854.32,52,32,32
"SA0000516","45","RUT","P",59,0,74950,38974,5396.4,41372.4,52,34,34
"SA0000517","45","RUT","P",76,0,64990,33794.8,4679.28,35874.48,52,32,32
"SA0000518","45","RUT","P",55,0,37530,19515.6,2702.16,20716.56,52,33,33
"SA0000519","45","RUT","P",85,0,39100,20332,2815.2,21583.2,52,32,32
"SA0000520","30","RUT","P",67,0,38290,19145,2871.75,22016.75,50,33,33
"SA0000521","30","RUT","P",32,0,11390,5695,854.25,6549.25,50,16,16
"SA0000522","60","RUT","P",98,0,23010,10584.6,0,12425.4,46,36,36
"SA0000523","30","PAQ","P",1,0,500,250,37.5,287.5,50,1,1
"SA0000524","60","RUT","P",89,0,49670,22848.2,0,26821.8,46,37,37
"SA0000525","60","RUT","P",89,0,38910,17898.6,0,21011.4,46,39,39
"SA0000526","30","PAQ","P",1,0,500,250,37.5,287.5,50,1,1
"SA0000527","30","PAQ","P",52,0,3750,1875,281.25,2156.25,50,5,5
"SA0000528","CONTADO","PAQ","P",2,0,800,360,66,506,45,2,2
"SA0000529","30","PAQ","P",3,0,1100,528,85.8,657.8,48,3,3
"SA0000530","60","PAQ","P",2,0,1550,852.5,104.63,802.13,55,2,2
"SA0000531","60","PAQ","P",2,0,3400,1870,229.5,1759.5,55,2,2
"SA0000532","30","PAQ","P",1,0,500,275,33.75,258.75,55,1,1
"SA0000533","30","PAQ","P",2,0,500,260,36,276,52,2,2
"SA0000534","45","MOS","P",9,0,2880,1296,237.6,1821.6,45,6,6
"SA0000535","60","PAQ","P",16,0,7330,4031.5,494.82,3793.32,55,16,16
"SA0000536","45","PAQ","P",7,0,5000,2750,337.51,2587.51,55,7,7
"SA0000537","15","PAQ","P",3,0,2110,1097.2,151.92,1164.72,52,3,3
"SA0000538","45","PAQ","P",1,0,1400,728,100.8,772.8,52,1,1
"SA0000539","30","PAQ","P",3,0,2100,1050,157.5,1207.5,50,2,2
"SA0000540","45","PAQ","P",6,0,4650,2325,348.75,2673.75,50,5,5
"SA0000541","30","PAQ","P",5,0,2950,1622.5,199.13,1526.63,55,5,5
"SA0000542","45","PAQ","P",1,0,1600,832,115.2,883.2,52,1,1
"SA0000543","30","PAQ","P",6,0,2960,1480,222,1702,50,5,5
"SA0000544","BAJA","PAQ","P",16,0,2045,981.6,159.51,1222.91,48,8,8
"SA0000545","60","PAQ","P",4,0,3150,1732.5,212.63,1630.13,55,4,4
"SA0000546","60","PAQ","P",16,0,2960,1628,199.8,1531.8,55,6,6
"SA0000547","30","PAQ","P",3,0,2050,1025,153.75,1178.75,50,3,3
"SA0000548","60","PAQ","P",1,0,1600,880,108,828,55,1,1
"SA0000549","30","PAQ","P",4,0,1850,1017.5,124.88,957.38,55,4,4
"SA0000550","15","MOS","P",6,0,4250,1912.5,350.64,2688.14,45,6,6
"SA0000551","45","RUT","P",101,0,74750,41112.5,5045.64,38683.14,55,33,33
"SA0000552","45","RUT","P",175,0,63700,35035,4299.79,32964.79,55,39,39
