"folioSalida","condicionDePago","medioEmbarque","moneda","cantidadTotal","promedioDescuento","totalImporte","totalDescuento","totalImpuesto","total","pctDescuentoGlobal","numArticulos","numPartidas"
"L020053","60","PAQ","P",5,0,1490,789.7,105.05,805.35,53,4,4
"L020054","45","PAQ","P",32,0,16360,8507.2,1177.92,9030.72,52,16,16
"L020055","30","PAQ","P",9,0,8100,4455,546.76,4191.76,55,7,7
"L020056","30","PAQ","P",3,0,1200,600,90,690,50,2,2
"L020057","15","PAQ","P",7,0,3300,1485,272.26,2087.26,45,7,7
"L020058","CONTADO","PAQ","P",10,0,26000,13520,1872,14352,52,1,1
"L020059","60","PAQ","P",21,0,8760,4642.8,617.59,4734.79,53,8,8
"L020060","30","PAQ","P",1,0,1600,736,129.6,993.6,46,1,1
"L020061","30","paq","P",9,0,2310,1201.2,166.32,1275.12,52,8,8
"L020062","45","PAQ","P",4,0,1430,715,107.25,822.25,50,3,3
"L020063","30","PAQ","P",1,0,800,440,54,414,55,1,1
"R001481","45","RUT","P",1,0,500,250,37.5,287.5,50,1,1
"R001482","CONTADO","RUT","P",1,0,400,200,30,230,50,1,1
"R001483","15","MOS","P",5,0,7000,3150,577.5,4427.5,45,5,5
"R001484","30","MOS","P",3,0,1100,528,85.8,657.8,48,3,3
"R001485","15","MOS","P",4,0,300,135,24.76,189.76,45,4,4
"R001486","60","RUT","P",450,0,47200,25960,3186.01,24426.01,55,15,15
"R001488","30","MOS","P",1,0,350,157.5,28.88,221.38,45,1,1
"R001489","30","MOS","P",6,0,1640,738,135.31,1037.31,45,6,6
"R001490","90","RUT","P",46,0,16370,9330.9,1055.88,8094.98,57,13,13
"R001491","90","RUT","P",88,0,7930,4520.1,511.5,3921.4,57,13,13
"R001492","90","RUT","P",1,0,3600,2052,232.2,1780.2,57,1,1
"R001493","15","MOS","P",1,0,350,157.5,28.88,221.38,45,1,1
"R001494","15","MOS","P",1,0,550,192.5,53.63,411.13,35,1,1
"R001495","60","MOS","P",49,0,19730,10851.5,1331.78,10210.28,55,13,13
"R001496","60","MOS","P",11,0,9000,4950,607.5,4657.5,55,5,5
"R001497","45","MOS","P",1,0,1800,900,135,1035,50,1,1
