"ClaveArticulo","Descripcion","ArticuloTipo","ArticuloGrupo","ArticuloClase","Almacenable","Identificacion","UMedInv","UMedVenta","UMedCpa","Precio","pctDescuento","UbicacionAlmacen","UbicacionClave"
"331-1173L","FARO MUSTANG 99-03 IZQ","24FAR","FORD","MTW","S","Libre","PZA","PZA","PZA",1800,0,"01","01"
"331-1173R","FARO MUSTANG 99-03 DER","24FAR","FORD","MTW","S","Libre","PZA","PZA","PZA",1800,0,"01","01"
"331-1176L","FARO SABLE 00-03 IZQ","24FAR","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1800,0,,
"331-1176R","FARO SABLE 00-03 DER","24FAR","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1800,0,,
"331-1185L","FARO LS 00-02 IZQ ***","24FAR","FORD","MTW","S","LIBRE","PZA","PZA","PZA",3000,0,,
"331-1185R","FARO LS 00-02 DER ***","24FAR","FORD","MTW","S","LIBRE","PZA","PZA","PZA",3000,0,,
"331-1188L","FARO GRAND MARQUIS 03 IZQ","24FAR","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1400,0,,
"331-1188R","FARO GRAND MARQUIS 03 DER","24FAR","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1400,0,,
"331-1189L","FARO NAVIGATOR 03-04 IZQ","24FAR","FORD","MTW","S","LIBRE","PZA","PZA","PZA",3000,0,,
"331-1189R","FARO NAVIGATOR 03-04 DER","24FAR","FORD","MTW","S","LIBRE","PZA","PZA","PZA",3000,0,,
"331-1501L","CUARTO LATERAL FORD PU 80-86 AMBAR IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",45,0,,
"331-1501R","CUARTO LATERAL FORD PU 80-86 AMBAR DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",45,0,,
"331-1509L","CUARTO PUNTA FORD PU 87-91 NEGRO IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"331-1509R","CUARTO PUNTA FORD PU 87-91 NEGRO DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"331-1510L","CUARTO PUNTA FORD PU 87-91 C/CROMO IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1510R","CUARTO PUNTA FORD PU 87-91 C/CROMO DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1511L","CUARTO PUNTA AEROSTAR 86-91 AMBAR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",130,0,"01","01"
"331-1511R","CUARTO PUNTA AEROSTAR 86-91 AMBAR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",130,0,"01","01"
"331-1512L","CUARTO PUNTA TOPAZ / GHIA 88 1/2-94 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",120,0,"01","01"
"331-1512R","CUARTO PUNTA TOPAZ / GHIA 88 1/2-94 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",120,0,"01","01"
"331-1515L","CUARTO PUNTA FORD PU 92-96 BLANCO IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",100,0,"01","01"
"331-1515PXUS","JGO CUARTO PUNTA FORD PU 92-96 CRISTAL","26CAP","FORD","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
"331-1515R","CUARTO PUNTA FORD PU 92-96 BLANCO DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",100,0,"01","01"
"331-1518L","CUARTO PUNTA RANGER 93-97 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"331-1518PXBVC","JGO CUARTO PUNTA RANGER 93-97 CRISTAL","26CAP","FORD","MTW","S","LIBRE","PZA","PZA","PZA",450,0,,
"331-1518R","CUARTO PUNTA RANGER 93-97 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"331-1519L","CUARTO PUNTA GRAND MARQUIS 89-91 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1519R","CUARTO PUNTA GRAND MARQUIS 89-91 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1520L","CUARTO PUNTA GRAND MARQUIS 92-94 BCO/AMBAR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1520R","CUARTO PUNTA GRAND MARQUIS 92-94 BCO/AMBAR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1521L","CUARTO PUNTA CROWN VICTORIA 92-97 LUJO IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1521R","CUARTO PUNTA CROWN VICTORIA 92-97 LUJO DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1523L","CUARTO PUNTA CROWN VICTORIA 88-91 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1523R","CUARTO PUNTA CROWN VICTORIA 88-91 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1524L","CUARTO FRONTAL Y PUNTA EXPLORER 95-00 IZQ *","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",350,0,"01","01"
"331-1524R","CUARTO FRONTAL Y PUNTA EXPLORER 95-00 DER *","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",350,0,"01","01"
"331-1525L","CUARTO PUNTA WINDSTAR 95-97 BICOLOR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"331-1525LY","CUARTO PUNTA WINDSTAR 98 AMBAR IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",160,0,,
"331-1525R","CUARTO PUNTA WINDSTAR 95-97 BICOLOR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",160,0,"01","01"
"331-1525RY","CUARTO PUNTA WINDSTAR 98 AMBAR DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",160,0,,
"331-1526L","CUARTO PUNTA CROWN VICTORIA 92-97 BICOLOR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1526R","CUARTO PUNTA CROWN VICTORIA 92-97 BICOLOR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1530L","CUARTO PUNTA ESCORT 94-96 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",140,0,"01","01"
"331-1530R","CUARTO PUNTA ESCORT 94-96 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",140,0,"01","01"
"331-1531L","CUARTO PUNTA EXPLORER 91-94/RANGER 89-92 AMBAR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",80,0,"01","01"
"331-1531R","CUARTO PUNTA EXPLORER 91-94/RANGER 89-92 AMBAR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",80,0,"01","01"
"331-1532L","CUARTO PUNTA FORD VAN 92-03 ECONOLINE BICOLOR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1532R","CUARTO PUNTA FORD VAN 92-03 ECONOLINE BICOLOR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1533L","CUARTO PUNTA AEROSTAR 92-97 BICOLOR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",170,0,"01","01"
"331-1533R","CUARTO PUNTA AEROSTAR 92-97 BICOLOR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",170,0,"01","01"
"331-1534L","CUARTO PUNTA GRAND MARQUIS 95-97 BCO/AMBAR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1534R","CUARTO PUNTA GRAND MARQUIS 95-97 BCO/AMBAR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1538LD","CUARTO PUNTA FORD PU / EXPED 97 AMERICANA IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",180,0,"01","01"
"331-1538LN","CUARTO PUNTA FORD PU 97-03 / EXPED  97-02 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1538P-XN","JGO CUARTO PUNTA FORD PU 97-03 / EXPED 97-02 CRISTAL","26CAP","FORD","MTW","S","LIBRE","PZA","PZA","PZA",450,0,,
"331-1538RD","CUARTO PUNTA FORD PU / EXPED 97  AMERICANA DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",180,0,"01","01"
"331-1538RN","CUARTO PUNTA FORD PU 97-03 / EXPED  97-02 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1540L","CUARTO PUNTA MUSTANG 94-98 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",220,0,"01","01"
"331-1540R","CUARTO PUNTA MUSTANG 94-98 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",220,0,"01","01"
"331-1541L","CUARTO PUNTA CONTOUR 95-97 BICOLOR IZQ ***","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"331-1541R","CUARTO PUNTA CONTOUR 95-97 BICOLOR DER ***","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"331-1543L","CUARTO PUNTA TOWN CAR 90-94 BICOLOR IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"331-1543R","CUARTO PUNTA TOWN CAR 90-94 BICOLOR DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"331-1544L","CUARTO PUNTA TOWN CAR 95-97 BICOLOR IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"331-1544R","CUARTO PUNTA TOWN CAR 95-97 BICOLOR DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"331-1545L","CUARTO PUNTA GRAND MARQUIS 92-94 AMBAR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1545R","CUARTO PUNTA GRAND MARQUIS 92-94 AMBAR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1546L","CUARTO PUNTA SABLE 92-95 BICOLOR IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
"331-1546R","CUARTO PUNTA SABLE 92-95 BICOLOR DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
"331-1552L","CUARTO PUNTA COUGAR / THUNDERBIRD 89-95 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1552R","CUARTO PUNTA COUGAR / THUNDERBIRD 89-95 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1553L","CUARTO PUNTA THUNDERBIRD 96-97 BICOLOR IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"331-1553R","CUARTO PUNTA THUNDERBIRD 96-97 BICOLOR DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"331-1560L","CUARTO PUNTA GRAND MARQUIS 98-02 BICOLOR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1560R","CUARTO PUNTA GRAND MARQUIS 98-02 BICOLOR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",250,0,"01","01"
"331-1564L","CUARTO PUNTA GRAND MARQUIS 03-04 BCO/AMB IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"331-1564R","CUARTO PUNTA GRAND MARQUIS 03-04 BCO/AMB DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"331-1601N","CUARTO FRONTAL FORD PU 80-86 AMBAR LH=RH","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",80,0,,
"331-1612L","CUARTO FRONTAL FORD PU 92-96 AMBAR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1612PXBC","JGO CUARTO FRONTAL FORD PU 92-96 CRISTAL","26CAP","FORD","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"331-1612R","CUARTO FRONTAL FORD PU 92-96 AMBAR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1616L","CUARTO FRONTAL CROWN VICTORIA 88-91 AMBAR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",300,0,"01","01"
"331-1616R","CUARTO FRONTAL CROWN VICTORIA 88-91 AMBAR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",300,0,"01","01"
"331-1617L","CUARTO FRONTAL GRAND MARQUIS 92-94 BLANCO IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"331-1617R","CUARTO FRONTAL GRAND MARQUIS 92-94 BLANCO DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"331-1618L","CUARTO FRONT EXPLORER 91-94/RANGER 89-92 AMBAR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1618R","CUARTO FRONT EXPLORER 91-94/RANGER 89-92 AMBAR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",200,0,"01","01"
"331-1619L","CUARTO FRONTAL SABLE 96-97 IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",250,0,,
"331-1619R","CUARTO FRONTAL SABLE 96-97 DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",250,0,,
"331-1621L","CUARTO FRONTAL GRAND MARQUIS 95-97 BLANCO IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"331-1621R","CUARTO FRONTAL GRAND MARQUIS 95-97 BLANCO DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"331-1625L","CUARTO FRONTAL TOWN CAR 90-94 BLANCO IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
"331-1625R","CUARTO FRONTAL TOWN CAR 90-94 BLANCO DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
"331-1626L","CUARTO FRONTAL RANGER 83-88 / BRONCO II 84-90 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",150,0,"01","01"
"331-1626R","CUARTO FRONTAL RANGER 83-88 / BRONCO II 84-90 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",150,0,"01","01"
"331-1629L","CUARTO FRONTAL Y PUNTA RANGER 98-03 IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",350,0,"01","01"
"331-1629R","CUARTO FRONTAL Y PUNTA RANGER 98-03 DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",350,0,"01","01"
"331-1631L","CUARTO FRONTAL ESCORT 98-00 2 PTAS ZX2 BCO IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
"331-1631R","CUARTO FRONTAL ESCORT 98-00 2 PTAS ZX2 BCO DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
"331-1633L","CUARTO FRONTAL SABLE 98-99 BCO IZQ","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",350,0,,
"331-1633R","CUARTO FRONTAL SABLE 98-99 BCO DER","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",350,0,,
"331-1638L","CUARTO F. Y P. FORD SUPER DUTY / EXCURS 99-03 AMBAR IZQ","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",280,0,"01","01"
"331-1638LC","CUARTO F. Y P. FORD SUPER DUTY / EXCURS 99-03 BICOLOR IZQ ***","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
"331-1638R","CUARTO F. Y P. FORD SUPER DUTY / EXCURS 99-03 AMBAR DER","25CTO","FORD","MTW","S","Libre","PZA","PZA","PZA",280,0,"01","01"
"331-1638RC","CUARTO F. Y P. FORD SUPER DUTY / EXCURS 99-03 BICOLOR DER ***","25CTO","FORD","MTW","S","LIBRE","PZA","PZA","PZA",400,0,,
"331-1913L","CALAVERA FORD PU 80-86 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",150,0,"01","01"
"331-1913R","CALAVERA FORD PU 80-86 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",150,0,"01","01"
"331-1916L","CALAVERA FORD PU 90-96 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",180,0,"01","01"
"331-1916R","CALAVERA FORD PU 90-96 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",180,0,"01","01"
"331-1922L","CALAVERA RANGER 93-97 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",260,0,"01","01"
"331-1922R","CALAVERA RANGER 93-97 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",260,0,"01","01"
"331-1923L","CALAVERA RANGER 83-92 IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",260,0,,
"331-1923R","CALAVERA RANGER 83-92 DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",260,0,,
"331-1926L","CALAVERA FORD PU 97-03 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",280,0,"01","01"
"331-1926R","CALAVERA FORD PU 97-03 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",280,0,"01","01"
"331-1927L","CALAVERA EXPLORER 91-94 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",400,0,"01","01"
"331-1927R","CALAVERA EXPLORER 91-94 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",400,0,"01","01"
"331-1930L","CALAVERA WINDSTAR 95-98 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",750,0,"01","01"
"331-1930R","CALAVERA WINDSTAR 95-98 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",750,0,"01","01"
"331-1932L","CALAVERA FORD VAN 92-94 AMBAR/ROJO/BCO IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",900,0,,
"331-1932R","CALAVERA FORD VAN 92-94 AMBAR/ROJO/BCO DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",900,0,,
"331-1933L","CALAVERA FORD VAN 95-03 / EXCURSION 00-03 IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",900,0,,
"331-1933R","CALAVERA FORD VAN 95-03 / EXCURSION 00-03 DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",900,0,,
"331-1934L","CALAVERA EXPLORER 95-97 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",500,0,"01","01"
"331-1934R","CALAVERA EXPLORER 95-97 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",500,0,"01","01"
"331-1935L","CALAVERA RANGER 98-99 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",450,0,"01","01"
"331-1935LC","CALAVERA RANGER 2000 IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",700,0,,
"331-1935R","CALAVERA RANGER 98-99 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",450,0,"01","01"
"331-1935RC","CALAVERA RANGER 2000 DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",700,0,,
"331-1939L","CALAVERA GRAND MARQUIS 92-94 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"331-1939R","CALAVERA GRAND MARQUIS 92-94 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"331-1940L","CALAVERA GRAND MARQUIS 95-97 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",900,0,"01","01"
"331-1940R","CALAVERA GRAND MARQUIS 95-97 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",900,0,"01","01"
"331-1945L","CALAVERA TOWN CAR 90-97 IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1200,0,,
"331-1945R","CALAVERA TOWN CAR 90-97 DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1200,0,,
"331-1947L","CALAVERA ESCORT 94-96 SDN IZQ ***","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",800,0,,
"331-1947R","CALAVERA ESCORT 94-96 SDN DER ***","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",800,0,,
"331-1951L","CALAVERA EXPLORER 98-00 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",650,0,"01","01"
"331-1951R","CALAVERA EXPLORER 98-00 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",650,0,"01","01"
"331-1952L","CALAVERA AEROESTAR 86-95 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",400,0,"01","01"
"331-1952R","CALAVERA AEROESTAR 86-95 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",400,0,"01","01"
"331-1953L","CALAVERA WINDSTAR 99-03 IZQ","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",650,0,"01","01"
"331-1953R","CALAVERA WINDSTAR 99-03 DER","26CAL","FORD","MTW","S","Libre","PZA","PZA","PZA",650,0,"01","01"
"331-1954L","CALAVERA MUSTANG 96-98 IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1200,0,,
"331-1954R","CALAVERA MUSTANG 96-98 DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1200,0,,
"331-1955L","CALAVERA THUNDERBIRD 92-95 EXT IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",800,0,,
"331-1955R","CALAVERA THUNDERBIRD 92-95 EXT DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",800,0,,
"331-1958L","CALAVERA MUSTANG 99-03 IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1200,0,,
"331-1958R","CALAVERA MUSTANG 99-03 DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1200,0,,
"331-1962L","CALAVERA ESCORT 97-98 SDN IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",700,0,,
"331-1962R","CALAVERA ESCORT 97-98 SDN DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",700,0,,
"331-1963L","CALAVERA ESCORT 98-00 2 PTAS ZX2 Y 99 SDN IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1000,0,,
"331-1963R","CALAVERA ESCORT 98-00 2 PTAS ZX2 Y 99 SDN DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1000,0,,
"331-1966L","CALAVERA GRAND MARQUIS 98-02 IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1200,0,,
"331-1966R","CALAVERA GRAND MARQUIS 98-02 DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1200,0,,
"331-1971L","CALAVERA GRAND MARQUIS 03-04 IZQ","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1800,0,,
"331-1971R","CALAVERA GRAND MARQUIS 03-04 DER","26CAL","FORD","MTW","S","LIBRE","PZA","PZA","PZA",1800,0,,
"332-1109L","FARO CUTLASS 88-96 Y EURO C/BASE PLASTICO IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",650,0,"01","01"
"332-1109R","FARO CUTLASS 88-96 Y EURO C/BASE PLASTICO DER","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",650,0,"01","01"
"332-1110L","FARO CAVALIER 93-94 C/BASE IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",620,0,"01","01"
"332-1110R","FARO CAVALIER 93-94 C/BASE DER","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",620,0,"01","01"
"332-1114L","FARO CAVALIER 91-92 C/BASE IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",620,0,"01","01"
"332-1114R","FARO CAVALIER 91-92 C/BASE DER","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",620,0,"01","01"
"332-1115L","FARO CENTURY 89-96 C/BASE IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",700,0,"01","01"
"332-1115R","FARO CENTURY 89-96 C/BASE DER","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",700,0,"01","01"
"332-1117L","FARO CHEV PU CHEYENNE / GMC 92-98 C/BASE IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",600,0,"01","01"
"332-1117PXUS","JGO FARO CHEV PU 92-98 CRISTAL","26CAP","CHEV","MTW","S","LIBRE","PZA","PZA","PZA",2400,0,,
"332-1117R","FARO CHEV PU CHEYENNE / GMC 92-98 C/BASE DER","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",600,0,"01","01"
"332-1121L","FARO SILHOUTTE / LUMINA / TRANS PORT 90-93 C/BASE IZQ***","24FAR","CHEV","MTW","S","LIBRE","PZA","PZA","PZA",1000,0,,
"332-1121R","FARO SILHOUTTE / LUMINA / TRANS PORT 90-93 C/BASE DER***","24FAR","CHEV","MTW","S","LIBRE","PZA","PZA","PZA",1000,0,,
"332-1125L","FARO CAVALIER 95-99 C/BASE IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",620,0,"01","01"
"332-1125R","FARO CAVALIER 95-99 C/BASE DER","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",620,0,"01","01"
"332-1126L","FARO CHEV BLAZER GMC 95-97 C/BASE IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"332-1126R","FARO CHEV BLAZER GMC 95-97 C/BASE DER","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"332-1127L","FARO CHEV BLAZER 95-97 C/BASE IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"332-1127R","FARO CHEV BLAZER 95-97 C/BASE DER","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",1000,0,"01","01"
"332-1156L","FARO CHEV VAN 98-02 LUJO EXPRESS C/BASE IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",800,0,"01","01"
"332-1156R","FARO CHEV VAN 98-02 LUJO EXPRESS C/BASE DER","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",800,0,"01","01"
"332-1159L","FARO GMC ASTRO / SAFARI V 95-03 C/AJUS LUJO IZQ","24FAR","CHEV",,"S","LIBRE","PZA","PZA","PZA",1000,0,"01","01"
"332-1159R","FARO GMC ASTRO / SAFARI V 95-03 C/AJUS LUJO DER","24FAR","CHEV",,"S","LIBRE","PZA","PZA","PZA",1000,0,"01","01"
"332-1164L","FARO S-10 98-03 / BLAZER 98-01 C/BASE IZQ","24FAR","CHEV","MTW","S","Libre","PZA","PZA","PZA",1100,0,"01","01"
