"ClaveArticulo","Descripcion","ArticuloTipo","ArticuloGrupo","ArticuloClase","Almacenable","Identificacion","UMedInv","UMedVenta","UMedCpa","Precio","pctDescuento","UbicacionAlmacen","UbicacionClave"
"312-1160L","FARO COROLLA 02-03 IZQ","24FAR","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",2000,0,,
"312-1160R","FARO COROLLA 02-03 DER","24FAR","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",2000,0,,
"312-1162L","FARO MATRIX 03-04 IZQ","24FAR","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",2500,0,,
"312-1162R","FARO MATRIX 03-04 DER","24FAR","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",2500,0,,
"312-1501L1","CUARTO PUNTA TOYOTA PU 89-95 CROM LISO TRAC N IZQ","25CTO","TOYO","MTW","S","Libre","PZA","PZA","PZA",140,0,"01","01"
"312-1501L2","CUARTO PUNTA TOYOTA PU 89-95 NEGRO LISO TRAC N IZQ","25CTO","TOYO","MTW","S","Libre","PZA","PZA","PZA",140,0,"01","01"
"312-1501R1","CUARTO PUNTA TOYOTA PU 89-95 CROM LISO TRAC N DER","25CTO","TOYO","MTW","S","Libre","PZA","PZA","PZA",140,0,"01","01"
"312-1501R2","CUARTO PUNTA TOYOTA PU 89-95 NEGRO LISO TRAC N DER","25CTO","TOYO","MTW","S","Libre","PZA","PZA","PZA",140,0,"01","01"
"312-1509L","CUARTO PUNTA TOYOTA PU T100 93-98 BICOLOR IZQ ***","25CTO","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",350,0,,
"312-1509R","CUARTO PUNTA TOYOTA PU T100 93-98 BICOLOR DER ***","25CTO","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",350,0,,
"312-1512L","CUARTO PUNTA TOYOTA PU 84-88 AMB CROM TRAC NOR IZQ","25CTO","TOYO","MTW","S","Libre","PZA","PZA","PZA",120,0,"01","01"
"312-1512L2","CUARTO PUNTA TOYOTA PU 84-88 AMB NEGR TRAC NOR IZQ","25CTO","TOYO","MTW","S","Libre","PZA","PZA","PZA",110,0,"01","01"
"312-1512R","CUARTO PUNTA TOYOTA PU 84-88 AMB CROM TRAC NOR DER","25CTO","TOYO","MTW","S","Libre","PZA","PZA","PZA",120,0,"01","01"
"312-1512R2","CUARTO PUNTA TOYOTA PU 84-88 AMB NEGR TRAC NOR DER","25CTO","TOYO","MTW","S","Libre","PZA","PZA","PZA",110,0,"01","01"
"312-1608L","CUARTO FRONTAL TOYOTA PU T100 93-98 AMBAR IZQ ***","25CTO","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"312-1608R","CUARTO FRONTAL TOYOTA PU T100 93-98 AMBAR DER ***","25CTO","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",300,0,,
"312-1908L","CALAVERA TOYOTA PU T100 93-98 IZQ ***","26CAL","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"312-1908R","CALAVERA TOYOTA PU T100 93-98 DER ***","26CAL","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",600,0,,
"312-1909L","CALAVERA TOYOTA PU 89-95 LISA IZQ ***","26CAL","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",350,0,,
"312-1909R","CALAVERA TOYOTA PU 89-95 LISA DER ***","26CAL","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",350,0,,
"312-1938L","CALAVERA CAMRY 02-03 IZQ","26CAL","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",1400,0,,
"312-1938R","CALAVERA CAMRY 02-03 DER","26CAL","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",1400,0,,
"312-1942L","CALAVERA COROLLA 03-04 IZQ","26CAL","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",1400,0,,
"312-1942R","CALAVERA COROLLA 03-04 DER","26CAL","TOYO","MTW","S","LIBRE","PZA","PZA","PZA",1400,0,,
"3122-5112A","RAD SHADOW AUT (TODOS) EXCEPTO TURBO 2 LIN","73RAD","DODG","MTW","S","Libre","PZA","PZA","PZA",2000,0,"01","01"
"3123-5112","RAD SHADOW STD (TODOS) EXCEPTO TURBO 2 LIN","73RAD","DODG","MTW","S","Libre","PZA","PZA","PZA",1700,0,"01","01"
"3124-5110A","RAD SPIRIT 90-91 AUT (EXCEPTO TURBO) 2R LIN","73RAD","DODG","MTW","S","Libre","PZA","PZA","PZA",2000,0,"01","01"
"3125-5310","RAD COMBI 88-96 2 LIN","73RAD","VW","MTW","S","Libre","PZA","PZA","PZA",2100,0,"01","01"
"3126-5052","RAD DATSUN SD 74-78 Y PU 73-80 STD 2 LIN","73RAD","NISSA","MTW","S","Libre","PZA","PZA","PZA",1200,0,"01","01"
"3130-5005A","RAD CUTLASS, CENTURY, MALIBU (TODOS) AUT 3 LIN","73RAD","CHEV","MTW","S","Libre","PZA","PZA","PZA",2800,0,"01","01"
"3131-5005","RAD CUTLASS, MALIBU (TODOS) STD 3 LIN","73RAD","CHEV","MTW","S","Libre","PZA","PZA","PZA",2400,0,"01","01"
"3133-5337","RAD CAVALIER 90-94 STD 2R LIN","73RAD","CHEV","MTW","S","Libre","PZA","PZA","PZA",1900,0,"01","01"
"3134-5337A","RAD CAVALIER 90-94 AUT 2R LIN","73RAD","CHEV","MTW","S","Libre","PZA","PZA","PZA",2200,0,"01","01"
"3135-5408A","RAD FORD PU 92-96 (8 CIL) AUT 3 LIN","73RAD","FORD","MTW","S","Libre","PZA","PZA","PZA",3200,0,"01","01"
"3136-5408","RAD FORD PU 92-96 (8 CIL) STD 3 LIN","73RAD","FORD","MTW","S","Libre","PZA","PZA","PZA",2900,0,"01","01"
"3137-5410","RAD FORD PU 92-95 (6 CIL) STD 2 LIN","73RAD","FORD","MTW","S","Libre","PZA","PZA","PZA",2200,0,"01","01"
"3138-5336A","RAD CHEV PU 92-98 AUT 2R LIN","73RAD","CHEV","MTW","S","Libre","PZA","PZA","PZA",2600,0,"01","01"
"3139-5336","RAD CHEV PU 92-98 STD 2R LIN","73RAD","CHEV","MTW","S","Libre","PZA","PZA","PZA",2300,0,"01","01"
"314-1127L","FARO GALANT 99-03 IZQ","24FAR","MITSU","MTW","S","LIBRE","PZA","PZA","PZA",2000,0,,
