"Articulo1","Articulo2","ClaveCliente","ClaveVendedor","FoliosJuntos"
"PCS1093C","PFEX91C","5421","4","2"
"PCS1093C","PFMU99","5421","4","2"
"PCS1093C","PFRA89C","5421","4","2"
"PCS1093C","PNPU86","5421","4","2"
"PCS1093C","PNPU94C","5421","4","2"
"PCS1093C","PNPU94P","5421","4","2"
"PCS1093C","SFPU87L","5421","4","2"
"PCS1093C","SFPU87R","5421","4","2"
"PCS1093C","SNT184L","5421","4","2"
"PCS1093C","SNT184R","5421","4","2"
"PFEX91C","PFMU99","5421","4","2"
"PFEX91C","PFRA89C","5421","4","2"
"PFEX91C","PNPU86","5421","4","2"
"PFEX91C","PNPU94C","5421","4","2"
"PFEX91C","PNPU94P","5421","4","2"
"PFEX91C","SFPU87L","5421","4","2"
"PFEX91C","SFPU87R","5421","4","2"
"PFEX91C","SNT184L","5421","4","2"
"PFEX91C","SNT184R","5421","4","2"
"PFMU99","PFRA89C","5421","4","2"
"PFMU99","PNPU86","5421","4","2"
"PFMU99","PNPU94C","5421","4","2"
"PFMU99","PNPU94P","5421","4","2"
"PFMU99","SFPU87L","5421","4","2"
"PFMU99","SFPU87R","5421","4","2"
"PFMU99","SNT184L","5421","4","2"
"PFMU99","SNT184R","5421","4","2"
"PFRA89C","PNPU86","5421","4","2"
"PFRA89C","PNPU94C","5421","4","2"
"PFRA89C","PNPU94P","5421","4","2"
"PFRA89C","SFPU87L","5421","4","2"
"PFRA89C","SFPU87R","5421","4","2"
"PFRA89C","SNT184L","5421","4","2"
"PFRA89C","SNT184R","5421","4","2"
"PNPU86","PNPU94C","5421","4","2"
"PNPU86","PNPU94P","5421","4","2"
"PNPU86","SFPU87L","5421","4","2"
"PNPU86","SFPU87R","5421","4","2"
"PNPU86","SNT184L","5421","4","2"
"PNPU86","SNT184R","5421","4","2"
"PNPU94C","PNPU94P","5421","4","2"
"PNPU94C","SFPU87L","5421","4","2"
"PNPU94C","SFPU87R","5421","4","2"
"PNPU94C","SNT184L","5421","4","2"
"PNPU94C","SNT184R","5421","4","2"
"PNPU94P","SFPU87L","5421","4","2"
"PNPU94P","SFPU87R","5421","4","2"
"PNPU94P","SNT184L","5421","4","2"
"PNPU94P","SNT184R","5421","4","2"
"SFPU87L","SFPU87R","5421","4","2"
"SFPU87L","SNT184L","5421","4","2"
"SFPU87L","SNT184R","5421","4","2"
"SFPU87R","SNT184L","5421","4","2"
"SFPU87R","SNT184R","5421","4","2"
"SNT184L","SNT184R","5421","4","2"
"BTFMU99P","BTFRA93P","5421","4","2"
"BTFMU99P","TSDFPU87","5421","4","2"
"BTFRA93P","TSDFPU87","5421","4","2"
