"Articulo1","Articulo2","ClaveCliente","ClaveVendedor","FoliosJuntos"
"SFKA01L","SFPU92L","5092","7","2"
"SFKA01L","SFPU92R","5092","7","2"
"SFKA01L","SFRA93R","5092","7","2"
"SFKA01L","SFVA97L","5092","7","2"
"SFKA01R","SFPU92L","5092","7","2"
"SFKA01R","SFPU92R","5092","7","2"
"SFKA01R","SFRA93R","5092","7","2"
"SFKA01R","SFVA97L","5092","7","2"
"SFPU92L","SFPU92R","5092","7","2"
"SFPU92L","SFRA93R","5092","7","2"
"SFPU92L","SFVA97L","5092","7","2"
"SFPU92R","SFRA93R","5092","7","2"
"SFPU92R","SFVA97L","5092","7","2"
"SFRA93R","SFVA97L","5092","7","2"
"215-1542L","215-1542R","5092","7","2"
"215-1542L","215-1562L","5092","7","2"
