"Articulo1","Articulo2","FoliosJuntos"
"CCPU92","CNT288","4"
"CNPU73","CNT288","4"
"CNPU94","CNT288","4"
"CNT184","CNT288","4"
"CCPU92","CNT392","4"
"CFPU92","CNT392","4"
"CNT184","CNT392","4"
"CNT392","MPDPU92CC","4"
"CCPU92","SCPU81R","4"
"CFPU92","SCPU92L","4"
"CTPU84","SCPU92L","4"
"SFES97R","SFPU92L","4"
"MEPNPU73L","MEPNPU73R","4"
"MEPNPU87CL","MEPNPU87CR","4"
"MEPNT392L","MEPNT392R","4"
"MEPVCA77DL","MEPVCA77DR","4"
"ELCPU92AL","ELCPU92AR","4"
"ELCPU92NL","ELCPU92NR","4"
"333-1147L","333-1147R","4"
"ELCSU92L","ELCSU92R","4"
"315-1503LY","315-1503RY","4"
"315-1503LC","315-1503RC","4"
"332-1607L","332-1607R","4"
"215-1506L3","215-1506R3","4"
"BFDSP90L","BFDSP90R","4"
"312-1501L1","312-1501R1","4"
"332-1182L","332-1182R","4"
"ELCS1086NL","ELCS1086NR","4"
"215-1542L","215-1562R","4"
"215-1542R","215-1562R","4"
"215-1504L3","215-1504R3","4"
"215-1558L","215-1558R","4"
"315-1506L2","315-1506R2","4"
"332-1525L","332-1526L","4"
"332-1525L","332-1526R","4"
"332-1526L","332-1526R","4"
"332-1528L","332-1528R","4"
"332-1627L","332-1627R","4"
"ELFPU97CL","ELFPU97CR","4"
"CDNE00","SFVA97L","4"
"DDNT288A","DDNT392N","4"
"14027431","14027432","4"
"MICPU77L","MICPU77R","4"
"MICPU95AL","MICPU95AR","4"
"MICPU95AR","MICPU95GL","4"
"MICPU95AL","MICPU95GR","4"
"MICPU95AR","MICPU95GR","4"
"ADNPU84CL","ADNPU84CR","4"
"CNPU94","SNPU94R","4"
"CNPU94","SNT392L","4"
"CCPU99","SFPU92L","4"
"DDCCH94","DTCCH94","4"
"CNT392","DDNSE01","4"
"CCCA91","CCPU92","4"
"CCPU92","CFES97","4"
"BFEX91CL","BFPU92CL","4"
"BFEX91CL","BFPU92CR","4"
"CNT392","SCPU99R","4"
"215-1930L","215-1930R","4"
"MEPDVO84L","MEPDVO84R","4"
"SCCA90L","SCCA90R","4"
"SCCA95L","SCPU99L","4"
"CCPU99","SCPU99L","4"
"CFPU92","SCPU99L","4"
"DDCPU92CB","SFPU87L","4"
"SCCH94L","SCCH94R","4"
"341-1603L","341-1603R","4"
"332-1914L","332-1914R","4"
"PNPU94P","PNT392","4"
"PNPU94P","PNT394","4"
"333-1102L","333-1102R","4"
"331-1515L","331-1515R","4"
"331-1531L","331-1531R","4"
"215-1121L","215-1121R","4"
"315-1101L","315-1101R","4"
"331-1107R","331-1111L","4"
"331-1106L","331-1129L","4"
"331-1106L","331-1129R","4"
"331-1106R","331-1129R","4"
"332-1608L","332-1608R","4"
"332-1678L","332-1678R","4"
"MEPCS1082CL","MEPCS1082R","4"
"MICS1086L","MICS1086R","4"
"MICS1086L","MICS1091L","4"
